"carnavalsnaam","tgn_uri"
"'t Aogje","http://vocab.getty.edu/tgn/7269146"
"'t Bliekersriek","http://vocab.getty.edu/tgn/7265793"
"'t Bokkerijersrijk","http://vocab.getty.edu/tgn/7258340"
"'t Ganzedrp","http://vocab.getty.edu/tgn/7261389"
"'t Heidurp","http://vocab.getty.edu/tgn/7269451"
"'t Hout","http://vocab.getty.edu/tgn/1047952"
"'t Hupke","http://vocab.getty.edu/tgn/7270335"
"'t Kleigat","http://vocab.getty.edu/tgn/1047775"
"'t Nlersriek","http://vocab.getty.edu/tgn/7006847"
"'t Sanegat","http://vocab.getty.edu/tgn/7265141"
"'t Ulenest","http://vocab.getty.edu/tgn/7270677"
"'t Verkesriek","http://vocab.getty.edu/tgn/7256345"
"'t Vosse'ol","http://vocab.getty.edu/tgn/7267961"
"'t Zelfkantriek","http://vocab.getty.edu/tgn/7262387"
"Altere","http://vocab.getty.edu/tgn/1047813"
"Aopelaand","http://vocab.getty.edu/tgn/1047987"
"Aopenland","http://vocab.getty.edu/tgn/7267862"
"Ballefruttersgat","http://vocab.getty.edu/tgn/1047793"
"Ballengat","http://vocab.getty.edu/tgn/1047595"
"Banaonblusserslaand","http://vocab.getty.edu/tgn/7006823"
"Baviaonenland","http://vocab.getty.edu/tgn/7258060"
"Berenland","http://vocab.getty.edu/tgn/7029625"
"Bergkneuterrijk","http://vocab.getty.edu/tgn/7262200"
"Biesboschrakkersrijk","http://vocab.getty.edu/tgn/1047899"
"Blaosdonk","http://vocab.getty.edu/tgn/1047904"
"Blubberdam","http://vocab.getty.edu/tgn/7267680"
"Boemeldonck","http://vocab.getty.edu/tgn/1048049"
"Bokkendonk","http://vocab.getty.edu/tgn/1048107"
"Bokkenriek","http://vocab.getty.edu/tgn/1047684"
"Bokkenriek","http://vocab.getty.edu/tgn/7270782"
"Bokkenrijk","http://vocab.getty.edu/tgn/7270445"
"Bollenmeppersgat","http://vocab.getty.edu/tgn/7262828"
"Bonenpikkerslaand","http://vocab.getty.edu/tgn/1047695"
"Bonnenland","http://vocab.getty.edu/tgn/7266444"
"Bosuilendorp","http://vocab.getty.edu/tgn/1048166"
"Bremspoersengat","http://vocab.getty.edu/tgn/7267705"
"Brouwersgat","http://vocab.getty.edu/tgn/7260296"
"Buurtgat","http://vocab.getty.edu/tgn/1047750"
"Cuppelsgat","http://vocab.getty.edu/tgn/7262847"
"D'n Haaykaant","http://vocab.getty.edu/tgn/7269397"
"D'n Haozepot","http://vocab.getty.edu/tgn/1048159"
"De Erpelkuul","http://vocab.getty.edu/tgn/7260430"
"De Hei","http://vocab.getty.edu/tgn/7006839"
"De Keijepoal","http://vocab.getty.edu/tgn/7271039"
"De May","http://vocab.getty.edu/tgn/1047933"
"De Plattevonder","http://vocab.getty.edu/tgn/1048124"
"De Rommelpot","http://vocab.getty.edu/tgn/7266647"
"De Straot","http://vocab.getty.edu/tgn/7263976"
"Deurdouwersrijk","http://vocab.getty.edu/tgn/7264049"
"Dllekesgat","http://vocab.getty.edu/tgn/7006832"
"Dommelbaorzedurp","http://vocab.getty.edu/tgn/1048209"
"Dors'T'vlegelland","http://vocab.getty.edu/tgn/7272644"
"Dringersgat","http://vocab.getty.edu/tgn/1047790"
"Dun Birrekoal","http://vocab.getty.edu/tgn/1047652"
"Dwergoni","http://vocab.getty.edu/tgn/1047739"
"Dwrsklippelgat","http://vocab.getty.edu/tgn/7006835"
"Empeldonk","http://vocab.getty.edu/tgn/7260349"
"Erpelrooierslaand","http://vocab.getty.edu/tgn/7273783"
"Ezelrijk","http://vocab.getty.edu/tgn/7261706"
"Faantelaand","http://vocab.getty.edu/tgn/7007073"
"Ganzegat","http://vocab.getty.edu/tgn/1047598"
"Ganzendonck","http://vocab.getty.edu/tgn/1137024"
"Geitenbokkenrijk","http://vocab.getty.edu/tgn/1047672"
"Germelaand","http://vocab.getty.edu/tgn/1047954"
"Giegeldonk","http://vocab.getty.edu/tgn/7261651"
"Goudpoepersland","http://vocab.getty.edu/tgn/7258254"
"Grasduinersdurp","http://vocab.getty.edu/tgn/7274053"
"Haaikneuterrijk","http://vocab.getty.edu/tgn/7260433"
"Haaikneuterslaand","http://vocab.getty.edu/tgn/7272969"
"Hanenrijk","http://vocab.getty.edu/tgn/7263553"
"Haoiboerenrijk","http://vocab.getty.edu/tgn/7264237"
"Haorendam","http://vocab.getty.edu/tgn/7261947"
"Heikneuterslaand","http://vocab.getty.edu/tgn/1048109"
"Heiknuuterland","http://vocab.getty.edu/tgn/7262597"
"Heimussenland","http://vocab.getty.edu/tgn/7272426"
"Het Klottenriek","http://vocab.getty.edu/tgn/7273606"
"Hiekrikkeldurp","http://vocab.getty.edu/tgn/7269455"
"Huibuukelaand","http://vocab.getty.edu/tgn/1048039"
"Indegat","http://vocab.getty.edu/tgn/1047673"
"Indegat","http://vocab.getty.edu/tgn/7263983"
"Kaaiendonk","http://vocab.getty.edu/tgn/7006830"
"Kaaiengat","http://vocab.getty.edu/tgn/7267719"
"Kaauwvoetenland","http://vocab.getty.edu/tgn/7264333"
"Kafland","http://vocab.getty.edu/tgn/7270091"
"Kakeldonk","http://vocab.getty.edu/tgn/7006828"
"Kantemaaiersdorp","http://vocab.getty.edu/tgn/7268848"
"Kattegat","http://vocab.getty.edu/tgn/7260644"
"Keaversriek","http://vocab.getty.edu/tgn/7263814"
"Keiebijtersstad","http://vocab.getty.edu/tgn/7006840"
