"id","hgid","naam","gg_uri","gg_uri_amco","amco","cbscode","geonames","startjaar","eindjaar","provincie","departement","absorbed","absorbedBy","originated","originatedFrom"
"1","Adorp","Adorp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Adorp","http://www.gemeentegeschiedenis.nl/amco/10996",,"0001",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum",,
"2","Aduard","Aduard","http://www.gemeentegeschiedenis.nl/gemeentenaam/Aduard","http://www.gemeentegeschiedenis.nl/amco/10999",,"0002",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidhorn",,
"3","Appingedam","Appingedam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Appingedam","http://www.gemeentegeschiedenis.nl/amco/10886",,"0003","http://sws.geonames.org/2759686","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"4","Baflo","Baflo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baflo","http://www.gemeentegeschiedenis.nl/amco/10539",,"0004",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum",,
"5","Bedum","Bedum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bedum","http://www.gemeentegeschiedenis.nl/amco/10425",,"0005","http://sws.geonames.org/2759355","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"6","Beerta","Beerta","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beerta","http://www.gemeentegeschiedenis.nl/amco/11043",,"0006",,"oudsher","1991","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuweschans","http://www.gemeentegeschiedenis.nl/gemeentenaam/Reiderland",,
"7","Bellingwedde","Bellingwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwedde","http://www.gemeentegeschiedenis.nl/amco/10340",,"0007","http://sws.geonames.org/2759248","1968","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Wedde"
"8","Bellingwolde","Bellingwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwolde","http://www.gemeentegeschiedenis.nl/amco/10340",,"1019",,"oudsher","1968","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwedde",,
"9","Bierum","Bierum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bierum","http://www.gemeentegeschiedenis.nl/amco/11294",,"0008",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Delfzijl",,
"10","Ten_Boer","Ten Boer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ten_Boer","http://www.gemeentegeschiedenis.nl/amco/10891",,"0009","http://sws.geonames.org/2746490","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"11","Bourtange","Bourtange","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bourtange","http://www.gemeentegeschiedenis.nl/amco/10332",,,,"oudsher","1822","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Vlagtwedde",,
"12","Delfzijl","Delfzijl","http://www.gemeentegeschiedenis.nl/gemeentenaam/Delfzijl","http://www.gemeentegeschiedenis.nl/amco/10976",,"0010","http://sws.geonames.org/2757339","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bierum",,,
"13","Eemsmond","Eemsmond","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eemsmond","http://www.gemeentegeschiedenis.nl/amco/10246",,"1651","http://sws.geonames.org/6544278","1992","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen"
"14","Eenrum","Eenrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eenrum","http://www.gemeentegeschiedenis.nl/amco/10904",,"0011",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ulrum",,
"15","Ezinge","Ezinge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ezinge","http://www.gemeentegeschiedenis.nl/amco/10136",,"0012",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum",,
"16","Finsterwolde","Finsterwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Finsterwolde","http://www.gemeentegeschiedenis.nl/amco/10212",,"0013",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Beerta",,
