"id","plaatsnaam_in_bron","plaatsnaam","eerste_jaar_min","eerste_jaar_max","laatste_jaar_min","laatste_jaar_max","aantal","tgn_uri","gn_uri","land","lat","lon"
"5","...chel","Achel","1533","1534","1533","1534","1",,"http://www.geonames.org/2803391","Belgium","51.253","5.47977"
"6","..sterdam","Amsterdam","1525","1526","1525","1526","1","http://vocab.getty.edu/tgn/7006952","http://www.geonames.org/2759794","Netherlands","52.3740272046","4.88968849182"
"7","Achel","Achel","1508","1509","1533","1534","4",,"http://www.geonames.org/2803391","Belgium","51.253","5.47977"
"8","Achelen","Achel","1531","1532","1534","1535","4",,"http://www.geonames.org/2803391","Belgium","51.253","5.47977"
"9","Acht by Geldrop","Acht","1493","1494","1493","1494","1","http://vocab.getty.edu/tgn/7258107","http://www.geonames.org/2760050","Netherlands","51.48","5.429167"
"10","Ackoey","Acquoy","1491","1492","1491","1492","1",,"http://www.geonames.org/2759975","Netherlands","51.879167","5.136111"
"11","Ackoy","Acquoy","1505","1506","1505","1506","1",,"http://www.geonames.org/2759975","Netherlands","51.879167","5.136111"
"12","Acquoy","Acquoy","1509","1510","1509","1510","1",,"http://www.geonames.org/2759975","Netherlands","51.879167","5.136111"
"13","Aechel onder Luyck","Achel","1532","1533","1532","1533","1",,"http://www.geonames.org/2803391","Belgium","51.253","5.47977"
"14","Aefferden","Afferden","1476","1477","1476","1477","1",,,,"0","0"
"15","Aeffoerden","Afferden","1478","1479","1479","1480","2",,,,"0","0"
"16","Aefforden","Afferden","1462","1463","1475","1476","2",,,,"0","0"
"17","Aelberen",,"1453","1454","1453","1454","1",,,,"0","0"
"18","Aelborch","Aalburg","1461","1462","1540","1541","7","http://vocab.getty.edu/tgn/7257644","http://www.geonames.org/2760144","Netherlands","51.7548245252","5.13155937195"
"19","Aelborg","Aalburg","1519","1520","1519","1520","3","http://vocab.getty.edu/tgn/7257644","http://www.geonames.org/2760144","Netherlands","51.7548245252","5.13155937195"
"20","Aelburch","Aalburg","1544","1545","1544","1545","1","http://vocab.getty.edu/tgn/7257644","http://www.geonames.org/2760144","Netherlands","51.7548245252","5.13155937195"
