"id","kloeke_nieuw","kloeke_uri","naam","kloeke_oud","sameConceptAs","ligt_in_uri","lat","lon"
"1","A001a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001a","Baaiduinen","A 001a","http://sws.geonames.org/2759583","http://vocab.getty.edu/tgn/7003616","53.3840561809","5.23846157617"
"2","A001b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001b","Landerum","A 001b","http://sws.geonames.org/2751989","http://vocab.getty.edu/tgn/7003616","53.3934405689","5.27543667524"
"3","A001p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001p","Midsland","A 001","http://sws.geonames.org/2750835","http://vocab.getty.edu/tgn/7003616","53.3931478118","5.30202793906"
"4","A001q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001q","Lies","A 001x","http://sws.geonames.org/2751631","http://vocab.getty.edu/tgn/7003616","53.3972056427","5.31036311617"
"5","A001z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001z","Formerum","A 001z","http://sws.geonames.org/2755863","http://vocab.getty.edu/tgn/7003616","53.3953257818","5.29471801589"
"6","A002p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A002p","West-Terschelling","A 002","http://sws.geonames.org/2744608","http://vocab.getty.edu/tgn/7003616","53.360949242","5.20156171894"
"7","A003p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A003p","Oostvlieland","A 003","http://sws.geonames.org/2749334","http://vocab.getty.edu/tgn/7003616","53.2985858887","5.03437195856"
"8","A004p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A004p","De Koog","A 004","http://sws.geonames.org/2757417","http://vocab.getty.edu/tgn/7006951","53.0977284986","4.75282877456"
"9","A005p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A005p","De Cocksdorp","A 005","http://sws.geonames.org/2757710","http://vocab.getty.edu/tgn/7006951","53.1558877405","4.86083833267"
"10","A006a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A006a","Harkebuurt","A 006a","http://sws.geonames.org/2754822","http://vocab.getty.edu/tgn/7006951","53.0922917673","4.85021999822"
"11","A006p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A006p","Oosterend","A 006","http://sws.geonames.org/2749475","http://vocab.getty.edu/tgn/7006951","53.0892333575","4.86372134072"
"12","A007p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A007p","Den Hoorn","A 007","http://sws.geonames.org/2757213","http://vocab.getty.edu/tgn/7006951","53.0272717283","4.74352734381"
"13","A008p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A008p","Den Burg","A 008","http://sws.geonames.org/2757244","http://vocab.getty.edu/tgn/7006951","53.0480694627","4.78923862898"
"14","A008q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A008q","Zuidhaffel","A 008x","http://sws.geonames.org/2743708","http://vocab.getty.edu/tgn/7006951","53.039375228","4.79556044307"
"15","A009p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A009p","De Waal","A 009","http://sws.geonames.org/2756962","http://vocab.getty.edu/tgn/7006951","53.0734125794","4.81165910104"
"16","A009z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A009z","Spang","A 009z","http://sws.geonames.org/2746977","http://vocab.getty.edu/tgn/7006951","53.0707565589","4.84325003735"
"17","A010p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A010p","Oudeschild","A 010","http://sws.geonames.org/2749009","http://vocab.getty.edu/tgn/7006951","53.0373812565","4.83332107197"
"18","A010q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A010q","Westergeest","A 010x","http://sws.geonames.org/2744745","http://vocab.getty.edu/tgn/7006951","53.0341257493","4.80441234044"
"19","B001a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B001a","Hollum","B 001a","http://sws.geonames.org/2753887","http://vocab.getty.edu/tgn/7003616","53.4458842925","5.63277921353"
"20","B001p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B001p","Ballum","B 001","http://sws.geonames.org/2759456","http://vocab.getty.edu/tgn/7003616","53.4482642841","5.68498878036"
"21","B002p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B002p","Nes","B 002","http://sws.geonames.org/2750417","http://vocab.getty.edu/tgn/7003616","53.4539190704","5.77532954773"
"22","B003p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B003p","Buren","B 003","http://sws.geonames.org/2758096","http://vocab.getty.edu/tgn/7003616","53.4507430935","5.79565071011"
"23","B004p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B004p","Schiermonnikoog","B 004","http://sws.geonames.org/2747591","http://vocab.getty.edu/tgn/7003616","53.483169592","6.16732976368"
"24","B005p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B005p","Hoorn","B 005","http://sws.geonames.org/2753636","http://vocab.getty.edu/tgn/7003616","53.4050065934","5.33015097858"
"25","B006p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B006p","Oosterend","B 006","http://sws.geonames.org/2749473","http://vocab.getty.edu/tgn/7003616","53.4118748949","5.37447366361"
"26","B007p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B007p","Ferwerd","B 007","http://sws.geonames.org/2755920","http://vocab.getty.edu/tgn/7003616","53.3456923774","5.81547950795"
"27","B008p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B008p","Blija","B 008","http://sws.geonames.org/2758820","http://vocab.getty.edu/tgn/7003616","53.3592509113","5.85415507343"
"28","B008q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B008q","Hogebeintum","B 008x","http://sws.geonames.org/2753954","http://vocab.getty.edu/tgn/7003616","53.3434233239","5.8388791064"
"29","B009p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B009p","Holwerd","B 009","http://sws.geonames.org/2753852","http://vocab.getty.edu/tgn/7003616","53.3759036724","5.89549091819"
"30","B010p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B010p","Ternaard","B 010","http://sws.geonames.org/2746424","http://vocab.getty.edu/tgn/7003616","53.3896184309","5.96446237311"
"31","B011a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B011a","Foudgum","B 011a","http://sws.geonames.org/2755857","http://vocab.getty.edu/tgn/7003616","53.3514160145","5.9389465379"
"32","B011p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B011p","Hantum","B 011","http://sws.geonames.org/2754878","http://vocab.getty.edu/tgn/7003616","53.3655662503","5.97714881989"
"33","B011q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B011q","Brantgum","B 011x","http://sws.geonames.org/2758402","http://vocab.getty.edu/tgn/7003616","53.3589503945","5.92602101286"
"34","B012p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B012p","Hantumhuizen","B 012","http://sws.geonames.org/2754874","http://vocab.getty.edu/tgn/7003616","53.3782568383","5.99452824049"
"35","B013a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013a","Oosternijkerk","B 013a","http://sws.geonames.org/2749427","http://vocab.getty.edu/tgn/7003616","53.3835255506","6.05817288072"
"36","B013b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013b","Anjum","B 013b","http://sws.geonames.org/2759757","http://vocab.getty.edu/tgn/7003616","53.3781327504","6.12739160273"
"37","B013c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013c","Niawier","B 013c","http://sws.geonames.org/2750399","http://vocab.getty.edu/tgn/7003616","53.368944104","6.04648266345"
"38","B013d","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013d","Lioessens","B 013d","http://sws.geonames.org/2751554","http://vocab.getty.edu/tgn/7003616","53.3858083396","6.09417359044"
"39","B013e","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013e","Morra","B 013e","http://sws.geonames.org/2750603","http://vocab.getty.edu/tgn/7003616","53.3758478209","6.09192130799"
"40","B013p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013p","Metslawier","B 013","http://sws.geonames.org/2750919","http://vocab.getty.edu/tgn/7003616","53.3632568985","6.0609813041"
"41","B013q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013q","Wetzens","B 013x","http://sws.geonames.org/2744588","http://vocab.getty.edu/tgn/7003616","53.3512862193","6.02850697581"
"42","B014a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014a","Wierum","B 014a","http://sws.geonames.org/2744526","http://vocab.getty.edu/tgn/7003616","53.4042607223","6.02565857954"
"43","B014g","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014g","Moddergat","B 014z","http://sws.geonames.org/2750779","http://vocab.getty.edu/tgn/7003616","53.4009527856","6.06053468264"
"44","B014p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014p","Paesens","B 014","http://sws.geonames.org/2748770","http://vocab.getty.edu/tgn/7003616","53.402318926","6.09339266161"
"45","B014z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014z","Nes","B 014az","http://sws.geonames.org/2750418","http://vocab.getty.edu/tgn/7003616","53.4058417","6.07781278017"
"46","B015p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B015p","Vierhuizen","B 015","http://sws.geonames.org/2745553","http://vocab.getty.edu/tgn/7003613","53.3690914756","6.30852680036"
"47","B016p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B016p","Ulrum","B 016","http://sws.geonames.org/2745944","http://vocab.getty.edu/tgn/7003613","53.3657057483","6.34284125389"
"48","B017p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B017p","Zoutkamp","B 017","http://sws.geonames.org/2743816","http://vocab.getty.edu/tgn/7003613","53.3430088","6.29756352393"
"49","B017q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B017q","Niekerk","B 017x","http://sws.geonames.org/2750389","http://vocab.getty.edu/tgn/7003613","53.342673923","6.34076859164"
"50","B018a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B018a","Oude Bildtdijk","B 018a","http://sws.geonames.org/2749158","http://vocab.getty.edu/tgn/7003616","53.2975798987","5.64390236223"
"51","B018p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B018p","Sint Jacobiparochie","B 018","http://sws.geonames.org/2747270","http://vocab.getty.edu/tgn/7003616","53.2765006064","5.59231355611"
"52","B019b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B019b","Hennaard","B 019b",,"http://vocab.getty.edu/tgn/7003616","53.2985143618","5.64390792708"
"53","B019p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B019p","Sint Annaparochie","B 019","http://sws.geonames.org/2747297","http://vocab.getty.edu/tgn/7003616","53.2810739961","5.64380411315"
