"id","kloeke_nieuw","kloeke_uri","altname"
"1","A001a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001a","Baaidunen"
"2","A001p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001p","Midslan"
"3","A001q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001q","Lys"
"4","A001z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001z","Formearum"
"5","A002p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A002p","West-Skylge"
"6","B006p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B006p","Aasterein"
"7","B012p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B012p","Hantumhuzen"
"8","B013a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013a","Easternijtsjerk"
"9","B013b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013b","Eanjum"
"10","B013c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013c","Nijewier"
"11","B013d","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013d","Ljussens"
"12","B013e","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013e","Moarre"
"13","B013p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013p","Mitslewier"
"14","B013q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013q","Wetsens"
"15","B014p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014p","Paessens"
"16","B018p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B018p","Sint Jabik"
"17","B019p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B019p","Sint Anne"
"18","B019z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B019z","Nije Dyk"
"19","B020p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B020p","Ouwesyl"
"20","B021p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B021p","Froubuert"
"21","B022a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B022a","Marum"
"22","B022p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B022p","Westernijtjerk"
"23","B024b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B024b","It Tichelwurk"
"24","B025p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B025p","Wyns"
"25","B027p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B027p","Burdaerd"
"26","B028p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B028p","Aldtsjerk"
"27","B029a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029a","Ikkerwald"
"28","B029b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029b","De Broek under Ikkerwald"
"29","B029p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029p","Rinsumageast"
"30","B029q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029q","Readtsjerk"
"31","B030a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B030a","Raerd"
"32","B031a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B031a","De Westerein"
"33","B031p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B031p","Moarmwald"
"34","B032a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B032a","Damwald"
"35","B032b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B032b","Walterswald"
"36","B032p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B032p","Driezum"
"37","B033a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B033a","Ingwierrum"
"38","B033b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B033b","Eastrum"
"39","B033p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B033p","Ie"
"40","B034a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B034a","Kollumersweach"
"41","B034b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B034b","Westergeast"
"42","B034p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B034p","Aldwalde"
"43","B035a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B035a","Sweagerfean"
"44","B036p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B036p","Butenpost"
"45","B038p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B038p","Muntsesyl"
"46","B039a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B039a","Middelwaard"
"47","B043p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B043p","Seisbierrum"
"48","B043q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B043q","Pitersbierrum"
"49","B044a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B044a","Hearbeam"
"50","B044p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B044p","Winaam"
"51","B045p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B045p","Harns"
"52","B045z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B045z","Mullum"
"53","B046a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B046a","Minnertsgea"
"54","B046b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B046b","Easterbierrum"
"55","B046p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B046p","Tsjommearum"
"56","B047g","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B047g","Doanjum"
"57","B048a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B048a","Hitsum"
"58","B048b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B048b","Skalsum"
"59","B048p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B048p","Frjentsjer"
"60","B049p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B049p","Berltsum"
"61","B050p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B050p","Menaam"
"62","B051p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B051p","Dronryp"
"63","B051q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B051q","Wjelsryp"
"64","B052a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B052a","Bitgum"
"65","B052p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B052p","Marsum"
