id,pid,"pleiades_id","pleiades_place_id","nameTransliterated","geoContext","geonames","maxDate","minDate","reprLat","reprLong","featureTypes","creators"
1,98908,"http://pleiades.stoa.org/places/98908/albaniana","http://pleiades.stoa.org/places/98908","Albaniana","Alphen aan de Rijn","http://sws.geonames.org/2759875","300.0","-30.0","52.128434","4.658012","fort","J.H.F. Bloemers"
2,98910,"http://pleiades.stoa.org/places/98910/amisia","http://pleiades.stoa.org/places/98910","Amisia","Ems GER",NULL,"300.0","-30.0","52.2730841","7.4499802","river","J.H.F. Bloemers"
3,98918,"http://pleiades.stoa.org/places/98918/voorburg","http://pleiades.stoa.org/places/98918","Voorburg","Voorburg","http://sws.geonames.org/2745321","2100.0","1700.0","52.060064","4.349213","settlement","jahlfeldt"
4,98918,"http://pleiades.stoa.org/places/98918/aurelium-cananefatium","http://pleiades.stoa.org/places/98918","Aurelium Cananefatium","Voorburg","http://sws.geonames.org/2745321","300.0","-30.0","52.060064","4.349213","settlement","J.H.F. Bloemers"
5,98918,"http://pleiades.stoa.org/places/98918/forum-hadriani","http://pleiades.stoa.org/places/98918","Forum Hadriani","Voorburg","http://sws.geonames.org/2745321","640.0","-30.0","52.060064","4.349213","settlement","J.H.F. Bloemers"
6,98918,"http://pleiades.stoa.org/places/98918/cananefates","http://pleiades.stoa.org/places/98918","Cananefates","Voorburg","http://sws.geonames.org/2745321","300.0","-30.0","52.060064","4.349213","settlement","J.H.F. Bloemers"
7,98921,"http://pleiades.stoa.org/places/98921/nijmegen","http://pleiades.stoa.org/places/98921","Nijmegen","Nijmegen","http://sws.geonames.org/2750053","2100.0","1700.0","51.84167","5.858672","settlement, amphitheatre","mimno"
8,98921,"http://pleiades.stoa.org/places/98921/batavodurum","http://pleiades.stoa.org/places/98921","Batavodurum","Nijmegen","http://sws.geonames.org/2750053","300.0","-30.0","51.84167","5.858672","settlement, amphitheatre","J.H.F. Bloemers"
9,98921,"http://pleiades.stoa.org/places/98921/ulpia-noviomagus","http://pleiades.stoa.org/places/98921","Ulpia Noviomagus","Nijmegen","http://sws.geonames.org/2750053","640.0","-30.0","51.84167","5.858672","settlement, amphitheatre","J.H.F. Bloemers"
10,98921,"http://pleiades.stoa.org/places/98921/noviomagus","http://pleiades.stoa.org/places/98921","Noviomagus","Nijmegen","http://sws.geonames.org/2750053","640.0","-30.0","51.84167","5.858672","settlement, amphitheatre","J.H.F. Bloemers"
11,98921,"http://pleiades.stoa.org/places/98921/batavi","http://pleiades.stoa.org/places/98921","Batavi","Nijmegen","http://sws.geonames.org/2750053","300.0","-30.0","51.84167","5.858672","settlement, amphitheatre","J.H.F. Bloemers"
12,98932,"http://pleiades.stoa.org/places/98932/carvium","http://pleiades.stoa.org/places/98932","Carvium","Herwen-De Bijland",NULL,"300.0","-30.0","51.868611","6.0875","fort","J.H.F. Bloemers"
13,98933,"http://pleiades.stoa.org/places/98933/carvo","http://pleiades.stoa.org/places/98933","Carvo","Kesteren","http://sws.geonames.org/2752899","300.0","-30.0","51.929722","5.5625","fort","J.H.F. Bloemers"
14,98934,"http://pleiades.stoa.org/places/98934/castra-herculis","http://pleiades.stoa.org/places/98934","Castra Herculis","Arnhem-Meinerswijk",NULL,"640.0","-30.0","51.970833","5.873611","fort","J.H.F. Bloemers"
15,98951,"http://pleiades.stoa.org/places/98951/elst","http://pleiades.stoa.org/places/98951","Elst","Elst","http://sws.geonames.org/2756161","2100.0","1700.0","51.91699","5.843141","temple","jahlfeldt"
16,98956,"http://pleiades.stoa.org/places/98956/fectio","http://pleiades.stoa.org/places/98956","Fectio","Bunnik-Vechten","http://sws.geonames.org/2745793","300.0","-30.0","52.058481","5.164175","fort","J.H.F. Bloemers"
17,98958,"http://pleiades.stoa.org/places/98958/Flevum-L","http://pleiades.stoa.org/places/98958","Flevum L.","IJssel",NULL,"300.0","-30.0","52.4773036","5.3596545","lake","J.H.F. Bloemers"
18,98961,"http://pleiades.stoa.org/places/98961/francia","http://pleiades.stoa.org/places/98961","Francia","GER",NULL,"640.0","-30.0","52.5","6.5","unknown","J.H.F. Bloemers"
19,98961,"http://pleiades.stoa.org/places/98961/franci","http://pleiades.stoa.org/places/98961","Franci","GER",NULL,"640.0","-30.0","52.5","6.5","unknown","J.H.F. Bloemers"
20,98967,"http://pleiades.stoa.org/places/98967/grinnes","http://pleiades.stoa.org/places/98967","Grinnes","Rossum","http://sws.geonames.org/2747908","640.0","-30.0","51.799752","5.350798","fort","J.H.F. Bloemers"
21,98976,"http://pleiades.stoa.org/places/98976/harenatium","http://pleiades.stoa.org/places/98976","Harenatium","Kleve-Rindern? GER",NULL,"640.0","-30.0","51.813333","6.128333","fort","J.H.F. Bloemers"
22,98978,"http://pleiades.stoa.org/places/98978/helinium","http://pleiades.stoa.org/places/98978","Helinium","Barrington Atlas grid 10 A5",NULL,"300.0","-30.0","51.5","4.5","unknown","J.H.F. Bloemers"
23,98997,"http://pleiades.stoa.org/places/98997/laurum","http://pleiades.stoa.org/places/98997","Laurum","Woerden","http://sws.geonames.org/2744248","300.0","-30.0","52.085664","4.882672","fort","J.H.F. Bloemers"
24,98998,"http://pleiades.stoa.org/places/98998/levefanum","http://pleiades.stoa.org/places/98998","Levefanum","Wijk bij Duurstede/Rijswijk",NULL,"300.0","-30.0","51.9625","5.352778","fort","J.H.F. Bloemers"
25,99003,"http://pleiades.stoa.org/places/99003/lugdunum","http://pleiades.stoa.org/places/99003","Lugdunum","Katwijk","http://sws.geonames.org/2753011","300.0","-30.0","52.212","4.393","fort","J.H.F. Bloemers"
26,99006,"http://pleiades.stoa.org/places/99006/mannaricium","http://pleiades.stoa.org/places/99006","Mannaricium","Maurik","http://sws.geonames.org/2751085","300.0","-30.0","51.9662405","5.4240495","fort","J.H.F. Bloemers"
27,99008,"http://pleiades.stoa.org/places/99008/matilo","http://pleiades.stoa.org/places/99008","Matilo","Leiden","http://sws.geonames.org/2751773","300.0","-30.0","52.150265","4.518428","fort","J.H.F. Bloemers"
28,99014,"http://pleiades.stoa.org/places/99014/zwammerdam","http://pleiades.stoa.org/places/99014","Zwammerdam","Zwammerdam","http://sws.geonames.org/2743578","2100.0","1700.0","52.105833","4.727222","fort","jahlfeldt"
29,99014,"http://pleiades.stoa.org/places/99014/nigrum-pullum","http://pleiades.stoa.org/places/99014","Nigrum Pullum","Zwammerdam","http://sws.geonames.org/2743578","300.0","-30.0","52.105833","4.727222","fort","J.H.F. Bloemers"
30,99021,"http://pleiades.stoa.org/places/99021/valkenburg","http://pleiades.stoa.org/places/99021","Valkenburg","Valkenburg","http://sws.geonames.org/2745872","2100.0","1700.0","52.179988","4.4336","fort","jahlfeldt"
31,99021,"http://pleiades.stoa.org/places/99021/praetorium-agrippinae","http://pleiades.stoa.org/places/99021","Praetorium Agrippinae","Valkenburg","http://sws.geonames.org/2745872","640.0","-30.0","52.179988","4.4336","fort","J.H.F. Bloemers"
32,99028,"http://pleiades.stoa.org/places/99028/rijswijk","http://pleiades.stoa.org/places/99028","Rijswijk","Rijswijk","http://sws.geonames.org/2748076","2100.0","1700.0","52.041938","4.321473","villa","jahlfeldt"
33,99034,"http://pleiades.stoa.org/places/99034/salii","http://pleiades.stoa.org/places/99034","Salii","Barrington Atlas grid 10 C4",NULL,"640.0","-30.0","52.5","6.5","unknown","J.H.F. Bloemers"
34,99046,"http://pleiades.stoa.org/places/99046/utrecht","http://pleiades.stoa.org/places/99046","Utrecht","Utrecht","http://sws.geonames.org/2745912","2100.0","1700.0","52.090701","5.121598","fort","jahlfeldt"
35,99046,"http://pleiades.stoa.org/places/99046/traiectum","http://pleiades.stoa.org/places/99046","Traiectum","Utrecht","http://sws.geonames.org/2745912","640.0","-30.0","52.090701","5.121598","fort","J.H.F. Bloemers"
36,99047,"http://pleiades.stoa.org/places/99047/tubantes","http://pleiades.stoa.org/places/99047","Tubantes","Barrington Atlas grid 10 C4",NULL,"640.0","-30.0","52.5","6.5","unknown","J.H.F. Bloemers"
37,99662,"http://pleiades.stoa.org/places/99662/corbulonis-fossa","http://pleiades.stoa.org/places/99662","Corbulonis Fossa","between R. Maas and R. Rhine",NULL,"300.0","-30.0","52.1051645","4.4338205","canal","J.H.F. Bloemers"
