"id","geb_plaats_bron","geb_plaats_huidig","eerste_jaar","laatste_jaar","lat","lon","adm1","aantal","gn_uri","tgn_uri"
"1","'s arentskercke in suijtbeverlant","'s-Heer-Arendskerke","1655","1655","51.5","3.8166667","ZE","1",,"http://vocab.getty.edu/tgn/7270603"
"2","'s Gravenhaege","Den Haag","1649","1649","52.0833333","4.3","ZH","1",,"http://vocab.getty.edu/tgn/7006810"
"3","'s gravenhage","Den Haag","1551","1651","52.0833333","4.3","ZH","5",,"http://vocab.getty.edu/tgn/7006810"
"4","'s Gravenhaghe","Den Haag","1650","1650","52.0833333","4.3","ZH","1",,"http://vocab.getty.edu/tgn/7006810"
"5","'s gravenmoer","'s-Gravenmoer","1493","1649","51.6666667","4.8","NB","3",,"http://vocab.getty.edu/tgn/7270616"
"6","'s gravenpolder","'s-Gravenpolder","1548","1648","51.45","3.9","ZE","6",,"http://vocab.getty.edu/tgn/7270611"
"7","'s gravenpolder int lant van goes","'s-Gravenpolder","1550","1550","51.45","3.9","ZE","1",,"http://vocab.getty.edu/tgn/7270611"
"8","'s gravenrmour","'s-Gravenmoer","1542","1542","51.6666667","4.8","NB","1",,"http://vocab.getty.edu/tgn/7270616"
"9","'s gravesande out hollant","'s-Gravenzande","1539","1539","52","4.1666667","ZH","1","http://sws.geonames.org/2747364",
"10","'s grevenmoer","'s-Gravenmoer","1598","1598","51.6666667","4.8","NB","1",,"http://vocab.getty.edu/tgn/7270616"
"11","'s Hartogenbosch","'s-Hertogenbosch","1542","1542","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"12","'s Hartogenbosche","'s-Hertogenbosch","1592","1592","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"13","'s Hartogenbousch","'s-Hertogenbosch","1552","1554","51.7","5.3166667","NB","2","http://sws.geonames.org/2747351",
"14","'s heeraerentskerke","'s-Heer-Arendskerke","1596","1596","51.5","3.8166667","ZE","1",,"http://vocab.getty.edu/tgn/7270603"
"15","'s heerenberg","'s-Heerenberg","1645","1645","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"16","'s heerenberge","'s-Heerenberg","1539","1539","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"17","'s heerenbergen","'s-Heerenberg","1638","1638","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"18","'s heergendrykinderen","'s-Heer-Hendrikskinderen","1641","1641","51.5","3.8666667","ZE","1",,"http://vocab.getty.edu/tgn/7270725"
"19","'s Herenberge","'s-Heerenberg","1592","1592","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"20","'s herenberghe","'s-Heerenberg","1598","1598","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"21","'s hertogenbos","'s-Hertogenbosch","1497","1600","51.7","5.3166667","NB","25","http://sws.geonames.org/2747351",
"22","'s Hertogenbosch","'s-Hertogenbosch","1536","1652","51.7","5.3166667","NB","26","http://sws.geonames.org/2747351",
"23","'s Hertogenbossche","'s-Hertogenbosch","1592","1592","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"24","'s hertogenbusch","'s-Hertogenbosch","1541","1541","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"25","'s-Hartogenboussch","'s-Hertogenbosch","1549","1549","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"26","'t landt te Valckenburch","Land van Valkenburg","1589","1589","50.85","5.8166667","LI","1",,
"27","'t Landt van Drendt","Provincie Drenthe","1590","1590","52.8333333","6.5833333","DR","1",,
"28","'t Landt van Somersdijck","Sommelsdijk","1595","1595","51.7666667","4.15","ZH","1",,"http://vocab.getty.edu/tgn/1048125"
"29","'t Landt van Valckenburch","Land van Valkenburg","1589","1589","50.85","5.8166667","LI","1",,
"30","'t Lant van Maes","Land van Maas en Waal","1594","1594","51.8333333","5.5","GE","1",,
"31","'t Renesscheveen","Veenendaal","1643","1643","52.0333333","5.55","UT","1",,"http://vocab.getty.edu/tgn/1048177"
