"id","histopo_uri","nederzetting","type","bron","lat","lon","reden","jaar_gebeurtenis","periode","locatie","eindjaar_min","eindjaar_max"
"1","http://www.histopo.nl/plaats/17c127ed-8cec-faf1-8f9d-97ccc9efbda6","Lisiduna","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 17","52.130290402","5.37197347709","overstuiving, ontvolking","-","1000 - 1500","bekend","1000","1500"
"2","http://www.histopo.nl/plaats/36c287f6-fa3e-7f47-92c9-9aff4d0383af","Otterspoor","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 20","52.1628775953","5.00883437512","ontvolking","-","1000 - 1500","bekend","1000","1500"
"3","http://www.histopo.nl/plaats/29f21c0e-1ea9-108e-bfe0-2c051453acff","Geyne","stad","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 23","52.021144243","5.08683897336","oorlog","1402","1000 - 1500","bekend","1402","1402"
"4","http://www.histopo.nl/plaats/17152f5f-e660-8565-8883-29db05500bb3","Dorestad","stad","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 28","51.9623834634","5.36827603855","oorlog, concurrentie","-","500 - 1000","bekend","500","1000"
"5","http://www.histopo.nl/plaats/aea61ad6-d733-d2eb-7e63-61c40a678f89","Wijk","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 39","51.9685336971","5.34318622497","?","-","1000 - 1500","bekend","1000","1500"
"6","http://www.histopo.nl/plaats/85534687-2e71-3233-897e-1aba6c7a7064","Scirmere 1","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 44","52.5940693095","4.79918758243","overstroming, verplaatsing","-","1000 - 1500","bekend","1000","1500"
"7","http://www.histopo.nl/plaats/9b239dbb-e586-2943-9267-c2de243c7f5d","Scirmere 2","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 44","52.5916236522","4.86227872042","ontvolking","-","1000 - 1500","bekend","1000","1500"
"8","http://www.histopo.nl/plaats/886b6a2b-5ba6-09d9-9694-7e53a49bdce9","Wouthuysen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 46","52.5885607131","4.81403227065","verplaatsing","-","1000 - 1500","bekend","1000","1500"
"9","http://www.histopo.nl/plaats/f81b25ac-acb2-01f0-50d8-b697d61c4d94","Westmijzen","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 46","52.6074615925","4.90085679966","overstroming, verplaatsing","-","1000 - 1500","bekend","1000","1500"
"10","http://www.histopo.nl/plaats/e1bbe378-c849-9f97-3356-0798e672160f","Naruthi","stad","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 47","52.3166374395","5.16202960327","oorlog, verplaatsing","- (Hoekse en Kabeljauwse Twisten)","1000 - 1500","bekend","1350","1490"
"11","http://www.histopo.nl/plaats/9cc28881-55a9-36bb-4822-be9559c825d9","Sloten","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 54","52.3560642032","4.80724679565","verplaatsing","-","1000 - 1500","bekend","1000","1500"
"12","http://www.histopo.nl/plaats/a43d5926-ffe6-cdb8-1e3d-241cc810ce3a","Oud-Raefeldam","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 56","52.5428666649","4.99471719469","verplaatsing","-","1000 - 1500","bekend","1000","1500"
"13","http://www.histopo.nl/plaats/179b7312-d06e-a5f8-2b1e-f0eadbdcdf02","Poppendam","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 60","52.4085532746","4.99871435815","concurrentie","-","1000 - 1500","bekend","1000","1500"
"14","http://www.histopo.nl/plaats/7f5bac85-35b8-8f5e-4931-19d87deec1ed","Calslagen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 62","52.2328517298","4.73210261655","overstroming","-","1800 - 1900","bekend","1800","1900"
"15","http://www.histopo.nl/plaats/5dedd72f-913f-aa40-f0dc-827bbe7282d5","Almersdorp","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 68","52.765717775","5.06957362988","overstroming","1334 (buitenbedijking)","1000 - 1500","bekend","1334","1334"
"16","http://www.histopo.nl/plaats/1f2ddaca-76f9-e08c-6e98-01e575a65aad","Gawijzend","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 68","52.7626953835","4.94470649774","overstroming","1334 (buitenbedijking)","1000 - 1500","bekend","1334","1334"
"17","http://www.histopo.nl/plaats/28a198b4-c55a-f671-d3ac-3d943fe835e3","Lammoer","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 72","52.5901344208","4.73737872185","overstroming","-","1000 - 1500","onbekend","1000","1500"
"18","http://www.histopo.nl/plaats/988e8cfc-5049-6e7a-77a0-db27213107d3","Schulhorn","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 72","52.8670254134","4.84716841027","overstroming","-","1000 - 1500","onbekend","1000","1500"
"19","http://www.histopo.nl/plaats/d216a1c5-2b83-aecc-44d0-0f429c80d348","Grootkeins","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 72","52.8116607435","4.78220687963","overstroming","-","1000 - 1500","onbekend","1000","1500"
"20","http://www.histopo.nl/plaats/40968b81-ed67-faa7-072e-a78464bd8873","Leeuwenhorn","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 72","52.809198118","4.77687216303","overstroming","-","1000 - 1500","onbekend","1000","1500"
"21","http://www.histopo.nl/plaats/5f246aa5-b5d9-98d2-7d36-e3c621040fac","Linnen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 72","52.8274961206","4.78409480518","overstroming","-","1000 - 1500","onbekend","1000","1500"
"22","http://www.histopo.nl/plaats/e1a6f406-8021-0a53-e25c-8fba219cfbe1","Lagerdoes","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 72","52.749254628","5.07323247736","overstroming","-","1000 - 1500","onbekend","1000","1500"
"23","http://www.histopo.nl/plaats/a825317e-3f8f-1588-8852-ebf986db79bc","Petten aan het Hondsbos","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 73","52.7709942619","4.63386265649","overstroming, verplaatsing","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"24","http://www.histopo.nl/plaats/f837c0ef-54cc-6a5e-e281-6d515456e1f5","Petten aan de Zijpe","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 73","52.7780050044","4.6411375235","overstroming, overstuiving","1375","1000 - 1500","bekend","1375","1375"
"25","http://www.histopo.nl/plaats/594eeb7b-1eb8-788c-ff21-97f3039cb04e","Petten in Nolmerban","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 73","52.7656986177","4.63208681657","overstroming","1452","1000 - 1500","bekend","1452","1452"
"26","http://www.histopo.nl/plaats/87f00207-cd5d-86ae-d5d7-9f35dcea8ed1","Oud-Petten","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 74","52.7660235157","4.65097208568","verplaatsing","1777","1700 - 1800","bekend","1777","1777"
"27","http://www.histopo.nl/plaats/5524d043-620c-ed70-4d40-17a757e8c711","Nieuw-Petten in de Hazepolder","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 74","52.7596171005","4.65264996826","?","-","1800 - 1900","bekend","1800","1900"
"28","http://www.histopo.nl/plaats/92e2d833-a685-f7c5-74d8-438851be5f77","Petten in 't Vlak","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 74","52.7654873241","4.65730759366","oorlog","1943 (Tweede Wereldoorlog)","1900 - 1950","bekend","1943","1943"
"29","http://www.histopo.nl/plaats/7c11b579-5e46-1d8d-b6e4-4eea960aa447","Husdunia","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 82","52.958211387","4.70470955064","overstroming, verplaatsing","1509 (Cosmas- en Damianusvloed)","1500 - 1600","bekend","1509","1509"
"30","http://www.histopo.nl/plaats/58dff298-14cb-e504-6867-1de50c4c0085","Huisduinen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 82","52.9572510507","4.71603433239","overstroming, overstuiving, verplaatsing","-","1600 - 1700","bekend","1600","1700"
"31","http://www.histopo.nl/plaats/c72896f3-1cca-ba78-1b4f-330af74e3f92","Helderbuert","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 84","52.964794882","4.74291734856","overstroming, overstuiving, verplaatsing","1584","1500 - 1600","bekend","1584","1584"
"32","http://www.histopo.nl/plaats/b72ec212-3fce-5fdf-dcfb-6e14c99328ad","Allegarn","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 85","52.9509831872","4.73969929252","overstuiving, ontvolking","-","1600 - 1700","bekend","1600","1700"
"33","http://www.histopo.nl/plaats/ecea5f4c-3615-0066-6894-e2c9962ce2b4","Torp","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 86","52.9356365421","4.77598123464","overstuiving, ontvolking","-","1500 - 1600","bekend","1500","1600"
"34","http://www.histopo.nl/plaats/980d4925-ed22-1ab9-d545-1265a6e773b0","Callinge","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 87","52.8334982256","4.66574443167","overstroming","1375","1000 - 1500","bekend","1375","1375"
"35","http://www.histopo.nl/plaats/b8008b09-f8be-4cc0-7e27-f04321074272","Callants 1","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 87","52.8455903172","4.67400562302","overstroming, verplaatsing","1509 (Cosmas- en Damianusvloed)","1500 - 1600","bekend","1509","1509"
"36","http://www.histopo.nl/plaats/98a15a4e-2bf2-4ae6-0d2d-afbafc645e83","Callants 2","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 87","52.8372008444","4.66872565402","overstroming, verplaatsing","1570 (Allerheiligenvloed)","1500 - 1600","bekend","1570","1570"
"37","http://www.histopo.nl/plaats/b7e5bed1-f4fd-0430-9ec8-905e72a6168b","Sevenhuysen","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 90","52.8338042714","4.69308815195","ontvolking","1581","1500 - 1600","bekend","1581","1581"
"38","http://www.histopo.nl/plaats/4e5a8b45-c9cc-5773-9977-128f7284d274","Grebbe","stad","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 94","52.9201077122","4.83115256045","overstroming","-","1000 - 1500","onbekend","1000","1500"
"39","http://www.histopo.nl/plaats/8bd7f345-6344-3331-0aa8-d0fb528f2367","De Pesthuizen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 95","52.8915208626","4.90771167563","ontvolking","1876","1800 - 1900","bekend","1876","1876"
"40","http://www.histopo.nl/plaats/ac37ea55-a862-abf0-d1b2-6ab769c4f815","Nieuwerkerk 1","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 100","52.3296698521","4.71917326555","overstroming, verplaatsing","1467","1000 - 1500","bekend","1467","1467"
"41","http://www.histopo.nl/plaats/a084f1c5-f76d-396e-ab7d-5d2b9e3b90a5","Nieuwerkerk 2","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 100","52.3471069031","4.7452545507","overstroming, verplaatsing","-","1500 - 1600","bekend","1500","1600"
"42","http://www.histopo.nl/plaats/d5dce891-ad21-7220-d1ef-7a465d138b17","Nieuwerkerk 3","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 100","52.3549578026","4.75612067415","overstroming","-","1600 - 1700","bekend","1600","1700"
"43","http://www.histopo.nl/plaats/216f34a8-ea51-9eb2-c3f8-9fdfb6672cd8","Rijk 1","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 102","52.298692437","4.73437235867","overstroming, verplaatsing","1647","1600 - 1700","bekend","1647","1647"
"44","http://www.histopo.nl/plaats/c2c9b969-4432-8467-5b2f-f9546c292ad5","Rijk 2","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 102","52.3206741927","4.75539040396","ontvolking","-","1800 - 1900","bekend","1800","1900"
"45","http://www.histopo.nl/plaats/2f33e38e-5555-fcae-ddd0-6285aa3cc40b","Vijfhuizen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 103","52.3599770333","4.73204682439","overstroming, oorlog","1591 (Tachtigjarige Oorlog)","1500 - 1600","bekend","1591","1591"
"46","http://www.histopo.nl/plaats/76622c6a-e404-b9f8-eace-534113fcd6dd","Haarlemmerwoude","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 104","52.3700010222","4.69000598799","overstroming","-","1000 - 1500","bekend","1000","1500"
"47","http://www.histopo.nl/plaats/31e67873-3ccb-6ef5-877e-706f42eaaa91","Boesingheliede","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 105","52.3423341224","4.75691647178","overstroming","-","1000 - 1500","bekend","1000","1500"
"48","http://www.histopo.nl/plaats/fd0b1d1c-2fc7-8603-008c-77798b6bfc3f","Raasdorp","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 105","52.3660493204","4.75453869978","overstroming","-","1600 - 1700","bekend","1600","1700"
"49","http://www.histopo.nl/plaats/bd08cd01-ca82-0ef8-d0b5-4d0fe8c80ba4","Beinsdorp","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 105","52.2845936198","4.6238710248","overstroming","-","1500 - 1600","bekend","1500","1600"
"50","http://www.histopo.nl/plaats/42e8c91e-6eb8-1096-05c5-4f7182ad9d16","Abbenes","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 107","52.2329786694","4.59041351559","overstroming","-","1600 - 1700","bekend","1600","1700"
"51","http://www.histopo.nl/plaats/703013a3-0f3a-5ce1-1ed3-81e62b497ee8","Rijk 3","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 110","52.2861798716","4.76581736273","industrie en infrastructuur","1959","1950 - 2000","bekend","1959","1959"
"52","http://www.histopo.nl/plaats/3393776d-6882-9fb4-de2c-f954e7940dba","Rozenburg","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 115","52.2804157659","4.736882747","industrie en infrastructuur","-","1950 - 2000","bekend","1950","2000"
"53","http://www.histopo.nl/plaats/b153e5cc-1b5b-0d9b-0315-da1c9a74a959","Swieten","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 116","52.101923304","4.51464811392","overstroming, oorlog","-","1000 - 1500","bekend","1000","1500"
"54","http://www.histopo.nl/plaats/7e429489-8a51-4920-78e3-be6fdb02841a","Jacobswoude","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 121","52.1676697123","4.66726809406","overstroming","1747","1700 - 1800","bekend","1747","1747"
"55","http://www.histopo.nl/plaats/df1d185f-a9b0-6582-6225-c9a5a8574ea4","Mi","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 128","52.136137616","4.85497634645","overstroming, oorlog","-","1000 - 1500","bekend","1000","1500"
"56","http://www.histopo.nl/plaats/9ac4b1bc-ebac-9c37-f84c-ff32b9a7872a","Schoot","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 133","52.1800155936","4.76456271656","overstroming","-","1700 - 1800","bekend","1700","1800"
"57","http://www.histopo.nl/plaats/d4268386-5c50-b77b-4f43-a8b243b8d491","Barendrecht","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 138","51.8545779495","4.529780493","overstroming","1374","1000 - 1500","bekend","1374","1374"
"58","http://www.histopo.nl/plaats/9a5605cf-0f3a-c29a-254f-e88168bb3133","Katendrecht","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 138","51.8921820592","4.47195494587","overstroming","1374","1000 - 1500","bekend","1374","1374"
"59","http://www.histopo.nl/plaats/4c611ddc-09e1-48a6-beb6-2fc02b457224","Carnisse","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 138","51.8445209881","4.49263153118","overstroming","1374","1000 - 1500","bekend","1374","1374"
"60","http://www.histopo.nl/plaats/c8b57667-5e48-1ba6-63a3-ccf72d4fa25c","Grote Lindt","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 138","51.8293310888","4.59274444165","overstroming","1374","1000 - 1500","bekend","1374","1374"
"61","http://www.histopo.nl/plaats/15eadac9-dda6-19f0-0b87-b8b4cb56ad5c","Kralingen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 140","51.9342935118","4.54646520421","overstroming, verplaatsing","1840","1800 - 1900","bekend","1840","1840"
"62","http://www.histopo.nl/plaats/977896c3-48b0-2aad-17e5-62c881ff190f","Nieuwesluis","gehucht","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 144","51.8748388077","4.24565560885","industrie en infrastructuur","1986","1950 - 2000","bekend","1986","1986"
"63","http://www.histopo.nl/plaats/cefe2214-bb81-e74d-250a-1b54e6ccb7c6","Blankenburg","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 148","51.8895243115","4.25280811403","industrie en infrastructuur","1965","1950 - 2000","bekend","1965","1965"
"64","http://www.histopo.nl/plaats/a4e566bc-6acd-5151-e400-610b19a3084c","Tiesselingskerke","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 157","51.7751831047","4.6768553555","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"65","http://www.histopo.nl/plaats/90a9bbcc-6413-6f53-be25-601bc57d7ef7","Almsvoet","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 157","51.7644934037","4.80354722536","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"66","http://www.histopo.nl/plaats/697ce700-9ab4-68cb-aac6-74727a47964d","Heeraartsweerd","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 157","51.734012788","4.87876969419","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"67","http://www.histopo.nl/plaats/d76f1d8e-45f3-057b-6b63-a68ee5b9121c","Almkerk","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 157","51.7735058937","4.96911324503","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"68","http://www.histopo.nl/plaats/668557e1-9d55-79a9-85dd-418a6939a47e","Leiderkerk","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 158","51.7814252814","4.60947119716","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"69","http://www.histopo.nl/plaats/55ffbf5b-3259-a591-6fa0-95fa7caf90ab","Eemskerk","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 158","51.7590416467","4.85946985706","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"70","http://www.histopo.nl/plaats/1875456c-624b-b52e-d1b2-3dcc9ac86c6e","Almonde","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 158","51.7542242847","4.81364421484","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"71","http://www.histopo.nl/plaats/b4e48914-c393-cf03-3e90-ee436235059a","Dubbelmonde","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 158","51.757565813","4.75382605021","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"72","http://www.histopo.nl/plaats/4304163a-bc0b-3fa9-f9a0-936e41d49091","Strijen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 160","51.781051362","4.5129760524","overstroming, verplaatsing","1288 (Sint Aagthenvloed)","1000 - 1500","bekend","1288","1288"
"73","http://www.histopo.nl/plaats/12606852-9be3-8690-0030-eb38ce47c7b4","Strienemonde","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 161","51.7823749046","4.42485061084","overstroming","1288 (Sint Aagthenvloed)","1000 - 1500","bekend","1288","1288"
"74","http://www.histopo.nl/plaats/cdb60149-5d49-beee-97dd-c003c308ef59","Weede","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 164","51.761530856","4.56821128115","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"75","http://www.histopo.nl/plaats/493695c8-72e9-7642-7313-b000425befdf","Houweninghen","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 170","51.8143712918","4.82381392963","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"76","http://www.histopo.nl/plaats/d595d3c3-f98d-557f-82af-4258bbe14556","Sliedrecht","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 172","51.8104867846","4.76481418325","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"77","http://www.histopo.nl/plaats/317ea233-ab68-29af-2aa9-c6962749d48d","Erkentrudenkerke","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 173","51.7922938953","4.70038727238","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
"78","http://www.histopo.nl/plaats/c42f8c6e-e73e-e0ba-3446-706af8dac4af","Dubbeldam","dorp","Bert Stulp, Verdwenen Dorpen, boek 2, blz. 175","51.8028154332","4.663791753","overstroming","1421 (Sint Elisabethsvloed)","1000 - 1500","bekend","1421","1421"
