"id","plaats_in_bron","plaats","start","eind","aantal","geonames","kloekeCode"
1,"Amsterdam","Amsterdam",1633,1794,106851,"http://sws.geonames.org/2759794","E109p"
2,"Rotterdam","Rotterdam",1633,1794,24966,"http://sws.geonames.org/2747891","K005p"
3,"Delft","Delft",1637,1793,13246,"http://sws.geonames.org/2757345","E198p"
5,"Leijden","Leiden",1635,1794,10280,"http://sws.geonames.org/2751773","E167p"
9,"Haarlem","Haarlem",1637,1794,5482,"http://sws.geonames.org/2755003","E097p"
10,"Enkhuizen","Enkhuizen",1638,1793,5431,"http://sws.geonames.org/2756077","E040p"
13,"Gouda","Gouda",1678,1794,4088,"http://sws.geonames.org/2755420","E209p"
21,"Utrecht","Utrecht",1635,1794,2614,"http://sws.geonames.org/2745912","E192p"
22,"Groningen","Groningen",1635,1794,2524,"http://sws.geonames.org/2755251","C108p"
23,"Dort","Dordrecht",1633,1792,2492,"http://sws.geonames.org/2756669","K094p"
28,"Leeuwaarden","Leeuwarden",1643,1794,2224,"http://sws.geonames.org/2751792","B056p"
32,"Groeningen","Groningen",1633,1794,2029,"http://sws.geonames.org/2755251","C108p"
33,"Harlingen","Harlingen",1633,1794,1998,"http://sws.geonames.org/2754817","B045p"
38,"Deventer","Deventer",1635,1794,1691,"http://sws.geonames.org/2756987","F133p"
40,"Breda","Breda",1647,1793,1645,"http://sws.geonames.org/2758401","K160p"
41,"Dordregt","Dordrecht",1644,1792,1486,"http://sws.geonames.org/2756669","K094p"
44,"Haerlem","Haarlem",1633,1793,1383,"http://sws.geonames.org/2755003","E097p"
46,"Schiedam","Schiedam",1635,1794,1306,"http://sws.geonames.org/2747596","K003p"
47,"Nimwegen","Nijmegen",1637,1793,1295,"http://sws.geonames.org/2750053","L071p"
49,"Altena","Altena",1680,1794,1245,"http://sws.geonames.org/2759865",""
50,"Alkmaar","Alkmaar",1686,1794,1199,"http://sws.geonames.org/2759899","E045p"
52,"Delfshaven","Delfshaven",1678,1794,1189,"http://sws.geonames.org/2757347","K042p"
57,"Veere","Veere",1662,1793,1136,"http://sws.geonames.org/2745739","I066p"
59,"Bergen op zoom","Bergen op Zoom",1637,1794,1082,"http://sws.geonames.org/2759145","I079p"
62,"Mastrigt","Maastricht",1635,1793,1060,"http://sws.geonames.org/2751283","Q095p"
67,"Shage","'s-Gravenhage",1715,1794,1037,"http://sws.geonames.org/2747373","D005p"
68,"Campen","Kampen",1635,1794,1030,"http://sws.geonames.org/2753106","F090p"
69,"Utregt","Utrecht",1662,1793,1015,"http://sws.geonames.org/2745912","E192p"
70,"Zutphen","Zutphen",1637,1794,967,"http://sws.geonames.org/2743608","F179p"
75,"Mechelen","Mechelen",1646,1792,925,"http://sws.geonames.org/2751077","Q204a"
78,"Swol","Zwolle",1633,1793,913,"http://sws.geonames.org/2743477","F096p"
80,"Dorth","Dordrecht",1680,1791,879,"http://sws.geonames.org/2756669","K094p"
82,"Den Briel","Brielle",1635,1793,866,"http://sws.geonames.org/2758326","I009p"
83,"Gorcum","Gorinchem",1635,1793,832,"http://sws.geonames.org/2755434","K099p"
84,"Norden","Norden",1637,1794,832,"http://sws.geonames.org/2749798",""
86,"Amersfoort","Amersfoort",1633,1794,822,"http://sws.geonames.org/2759821","F165p"
91,"Bern","Bern",1680,1793,796,"http://sws.geonames.org/2759053",""
100,"Sneek","Sneek",1637,1794,732,"http://sws.geonames.org/2747063","B112p"
108,"Edam","Edam",1637,1793,663,"http://sws.geonames.org/2756431","E077p"
112,"Doornik","Doornik",1706,1792,642,"http://sws.geonames.org/2756680",""
113,"Dordrecht","Dordrecht",1635,1794,637,"http://sws.geonames.org/2756669","K094p"
114,"Leeuwaerden","Leeuwarden",1633,1792,636,"http://sws.geonames.org/2751792","B056p"
119,"Dusseldorp","Dusseldorp",1646,1793,619,"http://sws.geonames.org/2756484",""
120,"Woerden","Woerden",1635,1794,592,"http://sws.geonames.org/2744248","E184p"
123,"Lijden","Leiden",1681,1794,585,"http://sws.geonames.org/2751773","E167p"
129,"Halle","Halle",1684,1794,548,"http://sws.geonames.org/2754935","M001p"
130,"Thiel","Tiel",1679,1794,536,"http://sws.geonames.org/2746331","L044p"
132,"Lier","De Lier",1635,1793,529,"http://sws.geonames.org/2757336","I004p"
140,"Arnhem","Arnhem",1636,1794,498,"http://sws.geonames.org/2759661","L023p"
142,"Goes","Goes",1662,1794,495,"http://sws.geonames.org/2755476","I069p"
143,"Enkhuijsen","Enkhuizen",1668,1793,491,"http://sws.geonames.org/2756077","E040p"
144,"Swoll","Zwolle",1647,1793,491,"http://sws.geonames.org/2743477","F096p"
148,"Bommel","Den Bommel",1661,1793,476,"http://sws.geonames.org/2757253","I046p"
158,"Dord","Dordrecht",1693,1793,442,"http://sws.geonames.org/2756669","K094p"
161,"Aarnhem","Arnhem",1680,1790,421,"http://sws.geonames.org/2759661","L023p"
165,"Soest","Soest",1637,1794,415,"http://sws.geonames.org/2747034","E164p"
170,"Schoonhoven","Schoonhoven",1640,1793,405,"http://sws.geonames.org/2747506","K020p"
171,"Weesp","Weesp",1635,1793,403,"http://sws.geonames.org/2744904","E121p"
173,"Zardam","Zaandam",1674,1794,397,"http://sws.geonames.org/2744118","E086p"
181,"Leuven","Leuven",1674,1792,381,"http://sws.geonames.org/2751679",""
182,"Leiden","Leiden",1683,1794,381,"http://sws.geonames.org/2751773","E167p"
184,"Texel","Texel",1646,1794,378,"http://sws.geonames.org/2746385",""
194,"Harlem","Haarlem",1636,1794,357,"http://sws.geonames.org/2755003","E097p"
195,"Dokkum","Dokkum",1661,1794,355,"http://sws.geonames.org/2756759","B030p"
198,"Amesfoort","Amersfoort",1649,1793,351,"http://sws.geonames.org/2759821","F165p"
203,"Purmerent","Purmerend",1637,1793,339,"http://sws.geonames.org/2748413","E072p"
208,"Ameland","Ameland",1691,1794,333,"http://sws.geonames.org/2759846",""
215,"Overschie","Overschie",1682,1793,317,"http://sws.geonames.org/2748826","K004p"
217,"Mastricht","Maastricht",1645,1794,315,"http://sws.geonames.org/2751283","Q095p"
221,"Naarden","Naarden",1648,1794,310,"http://sws.geonames.org/2750521","E125p"
222,"Kiel","Kiel",1662,1793,309,"http://sws.geonames.org/2752863",""
225,"Swartsluijs","Zwartsluis",1661,1791,306,"http://sws.geonames.org/2743518","F083p"
227,"Maastrigt","Maastricht",1688,1793,303,"http://sws.geonames.org/2751283","Q095p"
231,"Napels","Napels",1704,1793,294,"http://sws.geonames.org/2750505",""
232,"Dockum","Dokkum",1636,1793,292,"http://sws.geonames.org/2756759","B030p"
238,"Buijksloot","Buiksloot",1680,1793,284,"http://sws.geonames.org/2758159","E105p"
239,"Maassluijs","Maassluis",1685,1794,283,"http://sws.geonames.org/2751285","I007p"
240,"Venlo","Venlo",1646,1793,279,"http://sws.geonames.org/2745641","L271p"
241,"Franeker","Franeker",1644,1794,277,"http://sws.geonames.org/2755845","B048p"
247,"Nieuwkerk","Nieuwkerk",1688,1793,261,"http://sws.geonames.org/2750192",""
248,"Dordt","Dordrecht",1684,1792,260,"http://sws.geonames.org/2756669","K094p"
257,"Harlinge","Harlingen",1633,1791,248,"http://sws.geonames.org/2754817","B045p"
259,"Petersburg","Petersburg",1719,1793,248,"http://sws.geonames.org/2748642",""
260,"Wezel","Wezel",1685,1794,248,"http://sws.geonames.org/2744581",""
265,"Doccum","Dokkum",1635,1793,243,"http://sws.geonames.org/2756759","B030p"
269,"Elburg","Elburg",1689,1793,241,"http://sws.geonames.org/2756232","F100p"
270,"Leerdam","Leerdam",1638,1794,240,"http://sws.geonames.org/2751808","K073p"
278,"Zurich","Zurich",1674,1794,231,"http://sws.geonames.org/2743611","B079p"
279,"Bolswaart","Bolsward",1681,1794,230,"http://sws.geonames.org/2758682","B110p"
280,"Dragten","Drachten",1702,1793,229,"http://sws.geonames.org/2756644","B099p"
284,"Steenwijk","Steenwijk",1681,1793,228,"http://sws.geonames.org/2746766","F060p"
286,"Meppel","Meppel",1647,1793,225,"http://sws.geonames.org/2750947","F074p"
293,"Sluijs","Maassluis",1637,1793,218,"http://sws.geonames.org/2751285","I007p"
